ปี,เทอม,ระบบ,สถานที่จัดการเรียน,คณะ,สาขา,หลักสูตร,รหัสวิชา,ชื่อวิชา,ตอนเรียน,แผ่นที่,ระดับ,จำนวน
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.101-01,ภาษาอังกฤษสำหรับผู้ช่วยพยาบาล,NU1,1,ประกาศนียบัตรผู้ช่วยพยาบาล,22
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.101-01,ภาษาอังกฤษสำหรับผู้ช่วยพยาบาล,NU1,2,ประกาศนียบัตรผู้ช่วยพยาบาล,22
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.101-01,ภาษาอังกฤษสำหรับผู้ช่วยพยาบาล,NU1,3,ประกาศนียบัตรผู้ช่วยพยาบาล,16
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.102-01,จิตวิทยาพัฒนาการ,NU1,4,ประกาศนียบัตรผู้ช่วยพยาบาล,22
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.102-01,จิตวิทยาพัฒนาการ,NU1,5,ประกาศนียบัตรผู้ช่วยพยาบาล,22
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.102-01,จิตวิทยาพัฒนาการ,NU1,6,ประกาศนียบัตรผู้ช่วยพยาบาล,16
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.103-01,มารยาทสังคมและการพัฒนาบุคลิกภาพ,NU1,7,ประกาศนียบัตรผู้ช่วยพยาบาล,22
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.103-01,มารยาทสังคมและการพัฒนาบุคลิกภาพ,NU1,8,ประกาศนียบัตรผู้ช่วยพยาบาล,22
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.103-01,มารยาทสังคมและการพัฒนาบุคลิกภาพ,NU1,9,ประกาศนียบัตรผู้ช่วยพยาบาล,16
2562,1,AEC,ศูนย์วิทยาศาสตร์ ถ.สิรินธร มหาวิทยาลัยสวนดุสิต,พยาบาลศาสตร์,ประกาศนียบัตรผู้ช่วยพยาบาล,ประกาศนียบัตรผู้ช่วยพยาบาล,ผชท.201-01,กฎหมาย และจริยธรรมในการปฏิบัติงานสำหรับผู้ช่วยพยาบาล ,NU1,10,ประกาศนียบัตรผู้ช่วยพยาบาล,22
